wave,trans
7730.000000,0.000000
7755.000000,0.000000
7780.000000,0.000100
7805.000000,0.000100
7830.000000,0.000100
7855.000000,0.000200
7880.000000,0.000200
7905.000000,0.000300
7930.000000,0.000500
7955.000000,0.000700
7980.000000,0.001100
8005.000000,0.001700
8030.000000,0.002700
8055.000000,0.004000
8080.000000,0.005700
8105.000000,0.007900
8130.000000,0.010600
8155.000000,0.013900
8180.000000,0.017800
8205.000000,0.022200
8230.000000,0.027100
8255.000000,0.032400
8280.000000,0.038200
8305.000000,0.044600
8330.000000,0.051100
8355.000000,0.056400
8380.000000,0.060300
8405.000000,0.063700
8430.000000,0.066700
8455.000000,0.069400
8480.000000,0.071700
8505.000000,0.073600
8530.000000,0.075200
8555.000000,0.076500
8580.000000,0.077500
8605.000000,0.078200
8630.000000,0.078600
8655.000000,0.078700
8680.000000,0.078500
8705.000000,0.078000
8730.000000,0.077200
8755.000000,0.076300
8780.000000,0.075100
8805.000000,0.073800
8830.000000,0.072300
8855.000000,0.070800
8880.000000,0.069300
8905.000000,0.067400
8930.000000,0.063200
8955.000000,0.058100
8980.000000,0.054300
9005.000000,0.052600
9030.000000,0.052300
9055.000000,0.052200
9080.000000,0.051200
9105.000000,0.049600
9130.000000,0.048100
9155.000000,0.047300
9180.000000,0.047600
9205.000000,0.048200
9230.000000,0.047600
9255.000000,0.044700
9280.000000,0.039100
9305.000000,0.032900
9330.000000,0.028300
9355.000000,0.026400
9380.000000,0.027100
9405.000000,0.028300
9430.000000,0.027500
9455.000000,0.025400
9480.000000,0.025200
9505.000000,0.025600
9530.000000,0.024600
9555.000000,0.024400
9580.000000,0.025200
9605.000000,0.025800
9630.000000,0.026500
9655.000000,0.027400
9680.000000,0.027900
9705.000000,0.027100
9730.000000,0.025200
9755.000000,0.023600
9780.000000,0.022700
9805.000000,0.022200
9830.000000,0.021600
9855.000000,0.020800
9880.000000,0.019600
9905.000000,0.018300
9930.000000,0.017100
9955.000000,0.016000
9980.000000,0.014900
10005.000000,0.013800
10030.000000,0.012800
10055.000000,0.011800
10080.000000,0.010800
10105.000000,0.009900
10130.000000,0.009100
10155.000000,0.008300
10180.000000,0.007500
10205.000000,0.006800
10230.000000,0.006100
10255.000000,0.005500
10280.000000,0.005000
10305.000000,0.004500
10330.000000,0.004100
10355.000000,0.003700
10380.000000,0.003300
10405.000000,0.003000
10430.000000,0.002700
10455.000000,0.002500
10480.000000,0.002300
10505.000000,0.002100
10530.000000,0.001900
10555.000000,0.001800
10580.000000,0.001700
10605.000000,0.001600
10630.000000,0.001500
10655.000000,0.001400
10680.000000,0.001300
10705.000000,0.001200
10730.000000,0.001100
10755.000000,0.001000
10780.000000,0.000900
10805.000000,0.000800
10830.000000,0.000800
10855.000000,0.000700
10880.000000,0.000600
10905.000000,0.000600
10930.000000,0.000600
10955.000000,0.000500
10980.000000,0.000500
11005.000000,0.000400
11030.000000,0.000400
11055.000000,0.000300
11080.000000,0.000300
11105.000000,0.000200
11130.000000,0.000200
11155.000000,0.000100
11180.000000,0.000100
11205.000000,0.000000
11230.000000,0.000000
